Length,Num. Steps,SNR,LSD,Time Generation
83360,95,tensor(0.0388),tensor(1.3420),4.866646766662598
111220,67,tensor(-0.2951),tensor(3.3258),4.589200735092163
104256,79,tensor(0.0220),tensor(2.0952),5.021251678466797
75586,28,tensor(-19.5678),tensor(5.7295),1.3013923168182373
88374,38,tensor(-12.5184),tensor(5.4897),2.0875802040100098
106234,95,tensor(0.0612),tensor(1.3759),6.374460697174072
144844,96,tensor(0.0224),tensor(1.4439),8.710615634918213
87296,30,tensor(-15.6485),tensor(5.6533),1.600269079208374
80714,74,tensor(0.0228),tensor(2.7959),3.770892858505249
183840,80,tensor(0.0518),tensor(2.0747),9.18826675415039
175040,434,tensor(0.0044),tensor(2.4262),47.3783073425293
135164,331,tensor(0.0532),tensor(2.4423),28.315004348754883
137026,326,tensor(0.0609),tensor(2.2985),28.098182201385494
245180,419,tensor(0.0127),tensor(2.4938),65.19026327133179
122438,430,tensor(0.0535),tensor(2.4442),33.22581148147583
102610,412,tensor(0.0664),tensor(2.4559),26.95205593109131
152932,321,tensor(0.0652),tensor(2.2328),30.865997314453125
137116,435,tensor(0.0391),tensor(2.3881),37.74455952644348
98528,248,tensor(0.0256),tensor(2.5945),15.610368251800535
120578,243,tensor(0.0575),tensor(2.2366),18.61808443069458
77890,435,tensor(0.0301),tensor(2.8168),21.58630919456482
121070,497,tensor(0.0376),tensor(2.1869),38.37532711029053
109936,460,tensor(0.0450),tensor(2.3253),31.86952304840088
125200,244,tensor(0.0283),tensor(2.7113),19.419968366622925
84016,265,tensor(0.0447),tensor(2.8047),14.083899974822998
267328,408,tensor(0.0480),tensor(2.2804),70.5249559879303
128088,400,tensor(0.0227),tensor(2.5676),32.25122618675232
122764,442,tensor(0.0720),tensor(2.3827),34.2769513130188
131176,231,tensor(0.0508),tensor(2.4240),19.28901195526123
212094,269,tensor(-0.0057),tensor(2.4319),36.47220516204834
107686,354,tensor(0.0695),tensor(2.4959),24.133930921554565
101430,428,tensor(0.0625),tensor(2.4391),27.61559081077576
98366,471,tensor(0.0447),tensor(2.5363),29.883655071258545
221610,222,tensor(0.0408),tensor(2.2413),31.668888330459595
170252,383,tensor(0.0493),tensor(2.3326),41.38019919395447
96680,328,tensor(0.0398),tensor(2.3340),20.21148109436035
106394,232,tensor(0.0296),tensor(2.5730),15.539276838302612
